,Date,Low,High,Close,Open
5684,2022-06-03,44.61,45.3299,44.82,44.83
5683,2022-06-02,44.51,45.43,45.33,45.12
5682,2022-06-01,44.395,46.07,45.16,45.955
5681,2022-05-31,45.0,46.27,45.77,45.34
5680,2022-05-27,45.45,46.05,45.89,45.7
5679,2022-05-26,44.75,45.76,45.6,44.83
5678,2022-05-25,43.03,44.455,44.12,43.09
5677,2022-05-24,42.64,43.77,43.29,43.69
5676,2022-05-23,42.73,44.32,43.82,42.73
5675,2022-05-20,40.735,42.79,41.67,42.51
5674,2022-05-19,41.565,42.31,42.0,41.7
5673,2022-05-18,41.89,43.31,42.11,43.29
5672,2022-05-17,42.96,43.82,43.71,42.99
5671,2022-05-16,41.7,42.67,42.21,42.4
5670,2022-05-13,42.28,43.19,42.64,42.45
5669,2022-05-12,40.92,42.41,41.81,42.23
5668,2022-05-11,42.49,44.505,42.57,43.11
5667,2022-05-10,42.1901,44.7127,43.08,44.39
5666,2022-05-09,43.23,44.535,43.96,43.97
5665,2022-05-06,43.52,44.88,44.55,44.61
5664,2022-05-05,43.4536,45.06,44.76,45.0
5663,2022-05-04,44.18,46.13,45.98,44.31
5662,2022-05-03,43.66,44.6399,44.16,43.9
5661,2022-05-02,42.61,44.04,43.67,43.87
5660,2022-04-29,43.505,45.4,43.63,45.04
5659,2022-04-28,44.31,45.31,45.17,45.04
5658,2022-04-27,44.14,45.185,44.58,44.41
5657,2022-04-26,44.56,45.9969,44.58,45.16
5656,2022-04-25,44.53,45.97,45.83,45.76
5655,2022-04-22,46.26,47.92,46.34,47.69
5654,2022-04-21,47.6,49.4899,47.78,49.15
5653,2022-04-20,48.32,49.37,48.65,48.48
5652,2022-04-19,47.3299,48.185,47.83,47.39
5651,2022-04-18,46.1465,47.58,47.17,46.22
5650,2022-04-14,45.03,47.82,46.35,45.89
5649,2022-04-13,47.45,48.62,48.54,47.54
5648,2022-04-12,48.0,49.9,48.42,49.68
5647,2022-04-11,48.92,50.19,49.33,48.94
5646,2022-04-08,47.93,48.885,48.73,48.0
5645,2022-04-07,46.58,48.3,47.74,48.16
5644,2022-04-06,47.4,48.08,47.89,47.69
5643,2022-04-05,47.77,48.9,48.12,47.91
5642,2022-04-04,47.605,48.66,48.46,48.45
5641,2022-04-01,47.83,49.47,48.71,49.25
5640,2022-03-31,48.43,50.43,48.46,49.75
5639,2022-03-30,49.79,51.68,50.11,51.53
5638,2022-03-29,51.523,53.3,51.6,53.06
5637,2022-03-28,50.78,52.11,51.81,52.03
5636,2022-03-25,51.41,52.59,52.56,51.47
5635,2022-03-24,50.905,51.815,51.33,51.71
5634,2022-03-23,51.095,53.05,51.12,52.76
5633,2022-03-22,52.3,54.2,53.39,52.41
5632,2022-03-21,50.6099,51.8001,51.14,51.66
5631,2022-03-18,50.035,51.54,51.42,50.85
5630,2022-03-17,50.225,51.49,51.48,51.02
5629,2022-03-16,50.725,52.215,51.6,51.05
5628,2022-03-15,49.33,50.63,50.11,50.16
5627,2022-03-14,49.295,50.3771,49.86,49.66
5626,2022-03-11,48.43,50.0,48.47,49.67
5625,2022-03-10,47.85,49.57,49.01,48.26
5624,2022-03-09,48.35,49.75,49.16,48.79
5623,2022-03-08,46.35,48.2,46.46,46.68
5622,2022-03-07,45.77,48.58,45.81,48.58
5621,2022-03-04,48.175,50.0582,48.79,50.04
5620,2022-03-03,50.94,52.56,51.24,52.35
5619,2022-03-02,51.0,52.815,52.22,51.32
5618,2022-03-01,50.01,52.72,50.29,52.435
5617,2022-02-28,52.21,53.4,53.37,52.63
5616,2022-02-25,53.09,54.44,54.11,53.17
5615,2022-02-24,50.675,52.83,52.71,51.76
5614,2022-02-23,53.7599,56.02,53.95,55.85
5613,2022-02-22,54.697,56.12,55.28,55.57
5612,2022-02-18,55.37,56.72,55.63,56.15
5611,2022-02-17,55.755,57.53,56.15,57.15
5610,2022-02-16,57.55,58.88,58.14,57.91
5609,2022-02-15,58.09,59.315,58.38,59.12
5608,2022-02-14,57.18,58.65,57.85,58.51
5607,2022-02-11,57.91,60.24,58.31,58.52
5606,2022-02-10,58.8,60.3,59.05,59.55
5605,2022-02-09,58.34,59.38,59.06,58.7
5604,2022-02-08,57.8,58.9827,58.75,58.0
5603,2022-02-07,55.91,57.885,57.33,56.41
5602,2022-02-04,55.47,57.04,56.33,56.04
5601,2022-02-03,54.725,56.285,55.17,55.84
5600,2022-02-02,54.96,56.05,55.93,55.27
5599,2022-02-01,53.99,55.805,55.6,54.72
5598,2022-01-31,53.03,54.0504,53.8,53.82
5597,2022-01-28,52.77,54.22,54.19,53.61
5596,2022-01-27,53.23,55.505,53.76,54.6
5595,2022-01-26,53.43,54.92,54.14,53.91
5594,2022-01-25,51.55,53.73,53.59,52.67
5593,2022-01-24,51.18,53.49,53.32,52.73
5592,2022-01-21,53.13,55.0,53.67,54.5
5591,2022-01-20,54.91,56.38,55.0,55.72
5590,2022-01-19,55.47,57.675,55.57,57.1101
5589,2022-01-18,56.505,58.11,56.69,57.715
5588,2022-01-14,56.39,58.87,58.06,56.85
5587,2022-01-13,55.76,57.18,56.0,56.6
5586,2022-01-12,55.76,56.705,56.4,56.41
5585,2022-01-11,55.23,56.13,56.06,55.56
5584,2022-01-10,54.48,56.0573,55.35,55.5
5583,2022-01-07,53.8,55.19,54.77,53.86
5582,2022-01-06,52.66,53.67,53.63,53.15
5581,2022-01-05,51.995,53.14,52.29,52.92
5580,2022-01-04,51.52,53.145,52.75,51.58
5579,2022-01-03,48.915,50.81,50.73,48.93
5578,2021-12-31,47.84,48.36,47.98,48.03
5577,2021-12-30,48.04,48.905,48.1,48.49
